ID,year,make,model,color,class,body,seats,MSRP,engine,transmission,cost_per_day
1,2017,Lamborghini,Aventador,Green,Supercar,Convertible,2-seater,"536,000","6.5L V12","7-Speed Auto",999.00
2,2016,Lamborghini,Aventador,White,Supercar,Convertible,2-seater,"536,000","6.5L V12","7-Speed Auto",1099.00
3,2018,Lamborghini,Huracan,Black,Supercar,Coupe,2-seater,"344,000","5.2L V10","7-Speed Auto",1999.00
4,2016,Lamborghini,Huracan,Black,Supercar,Coupe,2-seater,"420,000","5.2L V10","7-Speed Auto",2999.00
5,2018,Ferrari,488,White,Supercar,Convertible,2-seater,"353,000","3.9L V8 TT","7-Speed Auto",999.00
6,2015,Ferrari,458,Yellow,"Exotic Car",Convertible,2-seater,"331,000","4.5L FV8","7-Speed Auto",1199.00
7,2016,Porsche,"911 GT3 RS",Orange,"Exotic Car",Coupe,2-seater,"204,000","4.0L SC","7-Speed Auto",899.00
8,2018,McLaren,570S,White,"Exotic Car",Coupe,2-seater,"218,000","3.8L V8","7-Speed Auto",1059.00
9,2017,Lamborghini,Aventador,Green,Supercar,Convertible,2-seater,"536,000","6.5L V12","7-Speed Auto",999.00
10,2016,Lamborghini,Aventador,White,Supercar,Convertible,2-seater,"536,000","6.5L V12","7-Speed Auto",1099.00
11,2018,Lamborghini,Huracan,Black,Supercar,Coupe,2-seater,"344,000","5.2L V10","7-Speed Auto",1999.00
12,2016,Lamborghini,Huracan,Black,Supercar,Coupe,2-seater,"420,000","5.2L V10","7-Speed Auto",2999.00
13,2018,Ferrari,488,White,Supercar,Convertible,2-seater,"353,000","3.9L V8 TT","7-Speed Auto",999.00
14,2015,Ferrari,458,Yellow,"Exotic Car",Convertible,2-seater,"331,000","4.5L FV8","7-Speed Auto",1199.00
15,2016,Porsche,"911 GT3 RS",Orange,"Exotic Car",Coupe,2-seater,"204,000","4.0L SC","7-Speed Auto",899.00
16,2018,McLaren,570S,White,"Exotic Car",Coupe,2-seater,"218,000","3.8L V8","7-Speed Auto",1059.00
17,2017,Lamborghini,Aventador,Green,Supercar,Convertible,2-seater,"536,000","6.5L V12","7-Speed Auto",999.00
18,2016,Lamborghini,Aventador,White,Supercar,Convertible,2-seater,"536,000","6.5L V12","7-Speed Auto",1099.00
19,2018,Lamborghini,Huracan,Black,Supercar,Coupe,2-seater,"344,000","5.2L V10","7-Speed Auto",1999.00
20,2016,Lamborghini,Huracan,Black,Supercar,Coupe,2-seater,"420,000","5.2L V10","7-Speed Auto",2999.00
21,2018,Ferrari,488,White,Supercar,Convertible,2-seater,"353,000","3.9L V8 TT","7-Speed Auto",999.00
22,2015,Ferrari,458,Yellow,"Exotic Car",Convertible,2-seater,"331,000","4.5L FV8","7-Speed Auto",1199.00
23,2016,Porsche,"911 GT3 RS",Orange,"Exotic Car",Coupe,2-seater,"204,000","4.0L SC","7-Speed Auto",899.00
24,2018,McLaren,570S,White,"Exotic Car",Coupe,2-seater,"218,000","3.8L V8","7-Speed Auto",1059.00
